[2024-03-04 12:26:46.450]	 Installing "tmux-sensible"
[2024-03-04 12:26:46.450]	 Installing "tmux-sessionx"
[2024-03-04 12:26:46.451]	 Already installed "tpm"
[2024-03-04 12:26:47.384]	   "tmux-sensible" download success
[2024-03-04 12:26:47.680]	   "tmux-sessionx" download success
[2024-03-04 12:26:47.703]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:26:46.603]	 Updating all plugins!
[2024-03-04 12:26:46.603]	 
[2024-03-04 12:26:47.367]	   "tpm" update success
[2024-03-04 12:26:47.368]	     | Already up to date.
[2024-03-04 12:26:47.606]	   "tmux-sensible" update fail
[2024-03-04 12:26:47.607]	     | From https://github.com/tmux-plugins/tmux-sensible
[2024-03-04 12:26:47.607]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:26:47.607]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:26:47.607]	     | 	.gitattributes
[2024-03-04 12:26:47.607]	     | 	CHANGELOG.md
[2024-03-04 12:26:47.607]	     | 	LICENSE.md
[2024-03-04 12:26:47.607]	     | 	README.md
[2024-03-04 12:26:47.607]	     | 	sensible.tmux
[2024-03-04 12:26:47.607]	     | Please move or remove them before you merge.
[2024-03-04 12:26:47.607]	     | Aborting
[2024-03-04 12:26:47.729]	   "tmux-sessionx" update fail
[2024-03-04 12:26:47.730]	     | From https://github.com/omerxx/tmux-sessionx
[2024-03-04 12:26:47.730]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:26:47.730]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:26:47.730]	     | 	.gitignore
[2024-03-04 12:26:47.730]	     | 	LICENSE
[2024-03-04 12:26:47.730]	     | 	README.md
[2024-03-04 12:26:47.730]	     | 	flake.lock
[2024-03-04 12:26:47.730]	     | 	flake.nix
[2024-03-04 12:26:47.730]	     | 	img/sessionxv2.png
[2024-03-04 12:26:47.730]	     | 	scripts/preview.sh
[2024-03-04 12:26:47.730]	     | 	scripts/reload_sessions.sh
[2024-03-04 12:26:47.730]	     | 	scripts/sessionx.sh
[2024-03-04 12:26:47.730]	     | 	sessionx.tmux
[2024-03-04 12:26:47.730]	     | Please move or remove them before you merge.
[2024-03-04 12:26:47.730]	     | Aborting
[2024-03-04 12:26:47.740]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:26:47.771]	 Done.

[2024-03-04 12:26:47.724]	 Updating all plugins!
[2024-03-04 12:26:47.724]	 
[2024-03-04 12:26:48.407]	   "tmux-sessionx" update success
[2024-03-04 12:26:48.409]	     | Already up to date.
[2024-03-04 12:26:48.429]	   "tpm" update success
[2024-03-04 12:26:48.431]	     | Already up to date.
[2024-03-04 12:26:48.963]	   "tmux-sensible" update success
[2024-03-04 12:26:48.964]	     | From https://github.com/tmux-plugins/tmux-sensible
[2024-03-04 12:26:48.964]	     |  * [new tag]         v1.0.0     -> v1.0.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v1.1.0     -> v1.1.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v2.0.0     -> v2.0.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v2.1.0     -> v2.1.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v2.2.0     -> v2.2.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v2.3.0     -> v2.3.0
[2024-03-04 12:26:48.964]	     |  * [new tag]         v3.0.0     -> v3.0.0
[2024-03-04 12:26:48.964]	     | Already up to date.
[2024-03-04 12:26:48.973]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:26:48.988]	 Removing "tmux-sensible"
[2024-03-04 12:26:48.989]	   "tmux-sensible" clean success
[2024-03-04 12:26:48.990]	 Removing "tmux-sessionx"
[2024-03-04 12:26:48.991]	   "tmux-sessionx" clean success
[2024-03-04 12:26:49.001]	 Done.

[2024-03-04 12:51:46.590]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:51:46.599]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:51:46.753]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:51:46.765]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:51:46.785]	 Already installed "tpm"
[2024-03-04 12:51:46.786]	 Already installed "tmux-sensible"
[2024-03-04 12:51:46.786]	 Already installed "tmux-sessionx"
[2024-03-04 12:51:46.797]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:51:46.619]	 Installing "tmux-sensible"
[2024-03-04 12:51:46.619]	 Installing "tmux-sessionx"
[2024-03-04 12:51:46.619]	 Already installed "tpm"
[2024-03-04 12:51:47.594]	   "tmux-sensible" download success
[2024-03-04 12:51:47.653]	   "tmux-sessionx" download success
[2024-03-04 12:51:47.662]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-03-04 12:51:46.808]	 Updating all plugins!
[2024-03-04 12:51:46.808]	 
[2024-03-04 12:51:47.583]	   "tpm" update success
[2024-03-04 12:51:47.584]	     | Already up to date.
[2024-03-04 12:51:47.794]	   "tmux-sensible" update fail
[2024-03-04 12:51:47.795]	     | From https://github.com/tmux-plugins/tmux-sensible
[2024-03-04 12:51:47.795]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:51:47.795]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:51:47.795]	     | 	.gitattributes
[2024-03-04 12:51:47.795]	     | 	CHANGELOG.md
[2024-03-04 12:51:47.795]	     | 	LICENSE.md
[2024-03-04 12:51:47.795]	     | 	README.md
[2024-03-04 12:51:47.795]	     | 	sensible.tmux
[2024-03-04 12:51:47.795]	     | Please move or remove them before you merge.
[2024-03-04 12:51:47.795]	     | Aborting
[2024-03-04 12:51:47.895]	   "tmux-sessionx" update fail
[2024-03-04 12:51:47.896]	     | From https://github.com/omerxx/tmux-sessionx
[2024-03-04 12:51:47.896]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:51:47.896]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:51:47.896]	     | 	.gitignore
[2024-03-04 12:51:47.896]	     | 	LICENSE
[2024-03-04 12:51:47.896]	     | 	README.md
[2024-03-04 12:51:47.896]	     | 	flake.lock
[2024-03-04 12:51:47.896]	     | 	flake.nix
[2024-03-04 12:51:47.896]	     | 	img/sessionxv2.png
[2024-03-04 12:51:47.896]	     | 	scripts/preview.sh
[2024-03-04 12:51:47.896]	     | 	scripts/reload_sessions.sh
[2024-03-04 12:51:47.896]	     | 	scripts/sessionx.sh
[2024-03-04 12:51:47.896]	     | 	sessionx.tmux
[2024-03-04 12:51:47.896]	     | Please move or remove them before you merge.
[2024-03-04 12:51:47.897]	     | Aborting
[2024-03-04 12:51:47.907]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:51:47.938]	 Done.

[2024-03-04 12:51:47.674]	 Updating all plugins!
[2024-03-04 12:51:47.674]	 
[2024-03-04 12:51:48.400]	   "tmux-sessionx" update success
[2024-03-04 12:51:48.405]	     | Already up to date.
[2024-03-04 12:51:48.432]	   "tmux-sensible" update success
[2024-03-04 12:51:48.435]	   "tpm" update success
[2024-03-04 12:51:48.437]	     | Already up to date.
[2024-03-04 12:51:48.441]	     | Already up to date.
